Top DEVCoin (DEV) addresses as of block 409105

Address	Amount	Last deposit block	Last deposit timestamp	Last withdrawal block	Last withdrawal timestamp
LMNyDcCZL7dA2wsLAcRmvS5HQLxH2sdiSu	10673.20013468	189393	2018-02-24 01:05:07	176423	2018-02-05 10:14:24
LSKEUhovxf6kcx1Ysbb4jPCYpNYDf71rDC	10361.2	408806	2018-09-18 08:51:53	408806	2018-09-18 08:51:53
LX51CdLrZvYszBrnP8VmahrV9SGxykZn98	10173.6	409006	2018-09-18 12:21:32	409006	2018-09-18 12:21:32
LSk4VqZv9Ydx32JkpShPduQBW3rXFCvnQk	10162.55691082	408347	2018-09-18 00:48:51	408347	2018-09-18 00:48:51
LgT7ALLVWZfNC5U6gi9GXCZYXh3KBcKK45	10084.8286284	409062	2018-09-18 13:23:26	409062	2018-09-18 13:23:26
LVcDPDhz74DnY3B3wZFaTngNevGU35vBRD	9686.2	408423	2018-09-18 01:59:32	408423	2018-09-18 01:59:32
LXdYiZwsDqp5VK3XZY8yw66H4LzYAGNa9R	8733.92013784	364906	2018-08-16 21:15:00	367827	2018-08-19 01:20:53
LRxSAZe23FT4utTWDe5uVama2L1CLHaXME	8649.95	409066	2018-09-18 13:28:38	409066	2018-09-18 13:28:38
LNGYSVKB3375vq4HQqSNYvJkeXDLVrkhG1	8345.999954	403043	2018-09-14 02:23:34	-	-
Lag2GR1uARM6CQzC6keTV8YNr3qxQWcMdn	8163.4	409043	2018-09-18 13:00:29	409043	2018-09-18 13:00:29
LLXPgt4WsjEmyQuMgws5R7ZZdAXaRLt6n3	8086.186	408802	2018-09-18 08:49:44	408802	2018-09-18 08:49:44
LcbSXL6yhbbShpUrrWK1vE1uhHFUGgxsnB	8061.80007525	92128	2017-12-08 14:21:36	92167	2017-12-08 14:57:52
LfJucykDdqWWpgXoAKpEiTugphqpqWUCMm	7944.0	392930	2018-09-06 15:05:23	392930	2018-09-06 15:05:23
LR4kbLtGQvZU2Ja3R9fgqUmWjTFxDkP5Cx	7900.0	402510	2018-09-13 16:48:28	316051	2018-07-11 14:35:59
LTue1CoJbWq3yrrreSnVvFtqxwLYn8Zkuo	7681.83502249	397723	2018-09-10 04:00:15	397723	2018-09-10 04:00:15
LUGH44FtVkqkMExBtSEwjzBNDXVagt5BQT	7672.03052077	409034	2018-09-18 12:53:31	409034	2018-09-18 12:53:31
LKZ3bz3vjXzM1uVuz2BhDFk1fgQvy9hD8L	7602.32235077	407909	2018-09-17 16:55:41	407909	2018-09-17 16:55:41
LbACiwVZeGWwGoqEgm5akGqrWQ23Zf75DU	7391.3530434	408981	2018-09-18 12:00:05	408981	2018-09-18 12:00:05
LMyvC9LE236FSxD8koNhw2vDZCMdUs2AXj	7307.32786234	298286	2018-06-09 16:08:29	298286	2018-06-09 16:08:29
LMRh8wKirs2YXEeyj25EkqeyGCQXkzS1Qb	7149.19337755	407755	2018-09-17 14:11:45	407755	2018-09-17 14:11:45
LQGinJqku8kurq4BC3mQycUhGBXNRLGDoa	7104.9263502	272821	2018-05-20 03:54:53	272821	2018-05-20 03:54:53
LghAfKUWW5HWubiLgdmmSR5XBQzRxSZJog	6545.47365271	391520	2018-09-05 14:08:30	391520	2018-09-05 14:08:30
LZXMwzwdbX8tqrCt2rqmzr2ZnPRmLCZB3B	6459.2572891	409026	2018-09-18 12:43:06	409026	2018-09-18 12:43:06
LNCCmjqDsyJrZ4mFiqg6Hi7wVEUZcUKpp1	6326.188	409035	2018-09-18 12:54:06	409035	2018-09-18 12:54:06
LaKpfAKFpXrEKVVEajwSudutgN1MX238oY	6320.92674818	408503	2018-09-18 03:32:05	408503	2018-09-18 03:32:05
LR7iVqt31ETyTaN7u1tnYjbqDMG4XkfkB2	6202.02300534	408972	2018-09-18 11:49:41	408972	2018-09-18 11:49:41
Lg4tcSeTGHRT2t8eTUfGLvHANGPMq2pQw6	6166.4	408590	2018-09-18 05:06:29	408590	2018-09-18 05:06:29
LbboBUBgJYTpG8N4LACtsDBG2Njh1dw9yf	5946.62288287	409079	2018-09-18 13:40:15	409079	2018-09-18 13:40:15
LUgKaaEiyApgnPRcjLs5HT7YESyaci1Y2T	5792.56714839	408434	2018-09-18 02:18:04	408434	2018-09-18 02:18:04
LPQXVmjBtFjPjfqUC1RmgSrosmvF6V6Xag	5727.5861692	408768	2018-09-18 08:09:11	408768	2018-09-18 08:09:11
LKnnF7ekJeHdkDwfWd98gqC32Qbod6eNNy	5524.20986379	408930	2018-09-18 11:09:50	408698	2018-09-18 06:55:19
LRkUyCNe2n6eG5jJXvLByaxVyMQBGn1YMk	5467.09214037	409023	2018-09-18 12:38:44	407904	2018-09-17 16:50:08
LXB3dd9UofhQxwks2BKggaCWtQajNeuw76	5305.18164602	408936	2018-09-18 11:17:25	408936	2018-09-18 11:17:25
LTJx78B75ZM2U2eW7EFitoVSUhZvVtFRkv	5123.21139556	408631	2018-09-18 05:49:19	408631	2018-09-18 05:49:19
LLDsK9T64XjwnNwyN16mGrhtxweMjG3QMf	5049.232	408472	2018-09-18 02:58:27	408472	2018-09-18 02:58:27
LVmGavBa8Npmyz7nEjCewnRsZfWT5KUhEM	4999.99	180522	2018-02-11 06:39:35	-	-
LSuBX4BDzP83QizokAL6ASJzu5NhhrLphR	4787.635931	408930	2018-09-18 11:09:50	408930	2018-09-18 11:09:50
LVLnJD8Jh2o5yN9LyRAeL1Dq29gsWy4xwS	4732.31338115	304077	2018-07-02 15:39:49	304077	2018-07-02 15:39:49
LXZAv3MX7YvwpXa3w4oquDRJ35ty6wM3kF	4691.27402208	408237	2018-09-17 22:50:00	408237	2018-09-17 22:50:00
LWnb7jqtoKDTj9mp4qUixhiPAYH4Em9bi4	4524.52	408644	2018-09-18 06:02:02	408644	2018-09-18 06:02:02
LNbrwqRhy44gbQEFVPB5pMpxZmyoaw2yax	4413.356	254318	2018-05-04 09:13:06	254318	2018-05-04 09:13:06
